"1","PC Gamer Titan","3500000.00","3","1"
"2","PC Oficina Intel","950000.00","1","1"
"3","Laptop Ultrabook Pro","2200000.00","8","2"
"4","Laptop Gamer Predator","3800000.00","3","2"
"5","Servidor Rack 24U","4000000.00","4","3"
"6","Servidor Dedicado Intel Xeon","3200000.00","4","3"
"7","Monitor 27\" 4K","450000.00","3","4"
"8","Monitor Curvo 32\"","700000.00","3","4"
"9","Teclado Mecánico RGB","120000.00","3","5"
"10","Mouse Gaming Láser","95000.00","3","5"
"11","Impresora Multifunción Láser","600000.00","7","6"
"12","Escáner Profesional A3","480000.00","7","6"
"13","SSD NVMe 2TB","380000.00","6","7"
"14","HDD 10TB Enterprise","450000.00","6","7"
"15","GPU RTX 4090","3900000.00","3","8"
"16","GPU RX 7900 XT","3100000.00","3","8"
"17","Motherboard Z790 Gaming","950000.00","4","9"
"18","Motherboard B660 Oficina","650000.00","4","9"
"19","Intel Core i9 13900K","1800000.00","4","10"
"20","AMD Ryzen 9 7950X","1600000.00","4","10"
"21","RAM DDR5 32GB","420000.00","4","11"
"22","RAM DDR4 16GB","220000.00","4","11"
"23","Fuente 1000W Modular","310000.00","4","12"
"24","Fuente 650W Eco","180000.00","4","12"
"25","Gabinete Gamer RGB","290000.00","3","13"
"26","Gabinete Compacto ATX","150000.00","3","13"
"27","Router WiFi 6 Dual Band","250000.00","2","14"
"28","Switch 24 Puertos","380000.00","2","14"
"29","Auriculares Gaming RGB","120000.00","3","15"
"30","Webcam Full HD","95000.00","5","15"
